distribution,sample_size,contamination_rate,outlier_scale_mad,contamination_type,true_mean,scenario_mode,estimator,mse,mse_q95,mse_max,bias,abs_bias,variance,mad,iqr,winner_k,winner_estimator_str,winner_robust_q95_mse,winner_robust_mean_mse,winner_robust_max_mse
normal,300,0.02,1.5,upper_tail,3,full,huber,0.029944197172777538,0.08517394372493885,0.08517394372493885,0.09926293278721632,0.09926293278721632,0.022323408163620106,0.07790818978071057,0.12693309272962328,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,biweight,0.030991423666489385,0.0902328539242392,0.0902328539242392,0.1022171209469569,0.1022171209469569,0.022825648724227272,0.07057360636905718,0.11630539981299037,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,robust,0.9073072129967158,1.5533033999696126,1.5533033999696126,-0.9316128485624686,0.9316128485624686,0.04378301487782104,0.18196723148844374,0.34464243956875285,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,mean,0.047810263984774094,0.14335877292562085,0.14335877292562085,0.1675313638433784,0.1675313638433784,0.0219372290150574,0.08926318708939185,0.15036608268485852,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,median,0.2311649644484245,0.7287096920376659,0.7287096920376659,0.41316016525526633,0.41316016525526633,0.06718182477185053,0.0931325068066744,0.15425030256245487,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,trimmed20,0.08394535029620943,0.234949559799912,0.234949559799912,0.2363922783851189,0.2363922783851189,0.031182267795668687,0.09421272732234609,0.16829319988074376,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,harmonic,3.063602426354001,4.90338506785149,4.90338506785149,-1.7276063654532412,1.7276063654532412,0.08775408044382586,0.27409631479180896,0.4123571461924147,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,geometric,0.03987408851185589,0.14140954582624604,0.14140954582624604,-0.13562309257989957,0.13562309257989957,0.02386718363435537,0.11593468638571758,0.21536651421140807,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,mode_hsm,2.133819365541511,4.250099872846231,4.250099872846231,0.6382584173612558,0.6382584173612558,1.9182728424544622,0.3984980572646317,0.9211081625580579,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,mode_parzen,2.673637286571258,4.115306832740929,4.115306832740929,1.2770387652395092,1.2770387652395092,1.1586769762742295,0.1876899212272667,0.3087409354495927,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,trimean,0.10642731082734094,0.3221627306429754,0.3221627306429754,0.27342329582483504,0.27342329582483504,0.035185569030695335,0.055576383610333346,0.09074193366717243,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,huber,0.0636673408898533,0.18325855291783055,0.18325855291783055,0.19570228294396452,0.19570228294396452,0.028186619267081985,0.10839038797391076,0.18488221152455164,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.05,1.5,upper_tail,3,full,biweight,0.06663824802766097,0.19570050590971833,0.19570050590971833,0.20257000577283524,0.20257000577283524,0.028448489765393794,0.09938510717324234,0.1711986194065389,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,robust,0.7752540973024489,1.4197408208376263,1.4197408208376263,-0.849308852341347,0.849308852341347,0.059920634041192425,0.24414615764251424,0.4343753984871026,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,mean,0.13452724733740007,0.2489854337698169,0.2489854337698169,0.3233179640684747,0.3233179640684747,0.03332526827557404,0.10204284420771725,0.21968137898404771,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,median,0.4069819801523967,0.8041953909909619,0.8041953909909619,0.5930052681373166,0.5930052681373166,0.06147414679309576,0.13370688213959436,0.2174835745653425,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,trimmed20,0.18804449195752687,0.43137919156318183,0.43137919156318183,0.3849271353360959,0.3849271353360959,0.04430621382163747,0.1000025907900528,0.213910345837812,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,harmonic,2.9072712918640726,4.841038227299802,4.841038227299802,-1.6769618425460466,1.6769618425460466,0.10563363389849002,0.2681839684164249,0.47449652987610547,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,geometric,0.03483276274054962,0.1465785074084488,0.1465785074084488,-0.02165986519454899,0.02165986519454899,0.038181792200337315,0.14404603870160804,0.2573172364602705,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,mode_hsm,1.9297522689313176,4.250099872846231,4.250099872846231,0.5484182800506838,0.5484182800506838,1.8099885100417414,0.5049592302695882,0.8623939111812682,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,mode_parzen,2.5473700334401164,3.8050375478963883,3.8050375478963883,0.8441056040843726,0.8441056040843726,2.0387286251038588,0.2019435944907224,0.3374942599104971,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,trimean,0.22042656198259328,0.42440722269955466,0.42440722269955466,0.43005030378655507,0.43005030378655507,0.039425886884094465,0.1050026639962256,0.19439148465466038,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,huber,0.1558008688889652,0.333189571756616,0.333189571756616,0.3447071048678807,0.3447071048678807,0.041086534158410175,0.12208673369364798,0.2435673553372184,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.1,1.5,upper_tail,3,full,biweight,0.1630636534308773,0.3441878257336381,0.3441878257336381,0.3537617854224244,0.3537617854224244,0.04212916956179539,0.12359639135769629,0.23216841792997478,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.15,1.5,upper_tail,3,full,robust,0.6255394242500085,1.3457278055097825,1.3457278055097825,-0.7444050951175267,0.7444050951175267,0.07933386512563828,0.24605576548996733,0.474877872497816,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.15,1.5,upper_tail,3,full,mean,0.26113172229529164,0.44870609986491283,0.44870609986491283,0.48158587981734424,0.48158587981734424,0.03245195850649558,0.10312007227408504,0.15969495001252776,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.15,1.5,upper_tail,3,full,median,0.6567335991512739,1.4467520787946373,1.4467520787946373,0.7742998320455694,0.7742998320455694,0.06354818805053021,0.18026691655148097,0.3447228587494804,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.15,1.5,upper_tail,3,full,trimmed20,0.35076874551244625,0.6622064843366519,0.6622064843366519,0.5556295013995518,0.5556295013995518,0.04671622520770165,0.1299391348734713,0.2993968152038726,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
